zks,zksync,first eth deposit time,mint nft 0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83 in zksync,zksync eth balance ,zksync last sale,0x7d54a311d56957fa3c9a3e397ca9dc6061113ab3  claim  in zksync,"l0 Transaction Details  Mon, 19 Jun 2023   op-arb  arb-op   ""Bridge within a few minutes""  "
0x8366ac92e9adaae8d0e38f317517e844f5005f52,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0143,2024/5/19,2023/12/6,0xe385a77b51268ccc6f9eec8e4a98bcd68887d7e09852d45d3b265d5f093b0ad5 0.715843 SGETH
0xcce170650766e525acd93a24d816df489989b9bd,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/1,2023/7/2,0.0182,2024/5/18,2023/12/6,0x6aa62eaa0560be85b067c1a26f3c5e330471a100f1656ea8b96d9696ae37004c  0.602623 SGETH
0x3500ecb7409807ca4fa00b260b905e2727e9321c,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/10,2023/8/6,0.0137,2024/5/16,2023/12/6,0xbb702f160418874323864e8021758d9f111ec0ce231dcaca336731757942b39f    0.613185 SGETH
0x659d05cb916210c866092122f641d499319a4ee4,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/20,2023/8/6,0.0107,2024/4/7,2023/12/6,0x9040b3932f939483017b06d1800c10e1bb39ad895df7a77893ecd63edae006be  0.707024 SGETH
0x340bbee08adda0eeea21b0c28c800e5aa32d580e,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/28,2023/8/6,0.0191,2024/5/8,2023/12/6,0xa99308727b9d323354dbc567f8b3bf8c23b7c931ebb70fc5d2d4eaa747e6223b  0.612265 SGETH
0x816b5d04cb55ae7c6bd56a01054caafd1fb7c8b8,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0157,2024/5/14,2023/12/6,0x9b8e7c33e2e5fef073be019a8c1317a9d27ac4f4ba69f613855c14071ddf70e0    0.657986 SGETH
0x9d4abeff691b0e950c87fd617738dfb730ff4d04,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/27,2023/9/27,0.0108,2024/5/5,2023/12/6,0x6d29bc3b062b7e3e2230d41c5545bcfb86267049d358ba1fd6bdc393ecdbb921  0.065162 SGETH
0x82f79f6c129a745957062e9aa5a0de4405c902a9,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/8/6,0.0177,2024/5/8,2023/12/6,  0x1900ee84d74f67f70fdeaff213671fdc8f0795bd3651d997faaccf18106273e1     
0xdef70e4572516a405e8d1834e7fee007ffc7268b,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/3,2023/7/3,0.014,2024/5/11,2023/12/6,"0x3afb30434f1ff6e93f2bf8bba00a7748ff2d28d06d835e48fdc842dbe805ba54   
0.654034 SGETH"
0x13adf7fa36560bb70c18c1cc1b51db46a7143bc5,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/3,2023/7/3,0.0235,2024/5/8,2023/12/6,0x006fd3891ff0089aa8fd8f19c80d6a6e13359c9145287a2c7082b702239697b5  1.49321 SGETH
0x98b0b827409036836f81e1bb9f92e1a216f580d7,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0073,2024/5/5,2023/12/6,"0x41c252e8c1108ef5fed0587549e862b8c804d9bea04ad056e890dbab745b4ec5 
1.15509 SGETH"
